"Mobile Model","Price","Image"
"Apple iPhone 16 Pro","Retail price: $999.99",
"Apple iPhone 16 Pro Max","Retail price: $1,199.99",
"Apple iPhone 16","Retail price: $829.99","https://ss7.vzw.com/is/image/VerizonWireless/apple-iphone-16-ultramarine"
"Apple iPhone 16 Plus","Retail price: $929.99","https://ss7.vzw.com/is/image/VerizonWireless/apple-iphone-16-plus-ultramarine"
"Apple iPhone 15","Retail price: $729.99","https://ss7.vzw.com/is/image/VerizonWireless/apple-iphone-15-128gb-blue-prepaid-mtpm3ll-a-a"
"Apple iPhone 15 Plus","Retail price: $829.99","https://ss7.vzw.com/is/image/VerizonWireless/apple-iphone-15-plus-128gb-pink-mtxt3ll-a-a"
"Apple iPhone 14","Retail price: $629.99","https://ss7.vzw.com/is/image/VerizonWireless/iphone-14-midnight-fall22-a"
"Apple iPhone 15 Pro Max","Retail price: $1,299.99","https://ss7.vzw.com/is/image/VerizonWireless/apple-iphone-15-pro-max-256gb-natural-titanium-mu683ll-a-a"
"Apple iPhone 15 Pro","Retail price: $1,399.99","https://ss7.vzw.com/is/image/VerizonWireless/apple-iphone-15-pro-256gb-blue-titanium-mtqv3ll-a-a"
"Apple iPhone 14 Plus","Retail price: $729.99","https://ss7.vzw.com/is/image/VerizonWireless/iphone-14-plus-midnight-fall22-a"
"Apple iPhone SE (3rd Gen)","Retail price: $429.99","https://ss7.vzw.com/is/image/VerizonWireless/apple-iphone-se-midnight-2022"
"Apple iPhone 13","Retail price: $629.99","https://ss7.vzw.com/is/image/VerizonWireless/apple-iphone-13-blu-09142021"
"Apple iPhone 15 (Certified Pre-Owned)","Retail price: $637.99","https://ss7.vzw.com/is/image/VerizonWireless/apple-iphone-15-128gb-black-mtlv3ll-a-a"
"Apple iPhone 15 Pro Max (Certified Pre-Owned)","Retail price: $1,000.99","https://ss7.vzw.com/is/image/VerizonWireless/apple-iphone-15-pro-max-256gb-natural-titanium-mu683ll-a-a"
"Apple iPhone 15 Pro (Certified Pre-Owned)","Retail price: $806.99","https://ss7.vzw.com/is/image/VerizonWireless/apple-iphone-15-pro-1tb-natural-titanium-mtu53ll-a-a"
"Apple iPhone 15 Plus (Certified Pre-Owned)","Retail price: $739.99","https://ss7.vzw.com/is/image/VerizonWireless/apple-iphone-15-plus-128gb-pink-mtxt3ll-a-a"
"Apple iPhone 14 Pro Max (Certified Pre-Owned)","Retail price: $859.99","https://ss7.vzw.com/is/image/VerizonWireless/iphone-14-pro-max-deep-purple-fall22-a"
"Apple iPhone 14 (Certified Pre-Owned)","Retail price: $525.99","https://ss7.vzw.com/is/image/VerizonWireless/iphone-14-yellow-spring2023"
"Apple iPhone 14 Pro (Certified Pre-Owned)","Retail price: $812.99","https://ss7.vzw.com/is/image/VerizonWireless/iphone-14-pro-deep-purple-fall22-a"
"Apple iPhone 14 Plus (Certified Pre-Owned)","Retail price: $617.99","https://ss7.vzw.com/is/image/VerizonWireless/iphone-14-plus-midnight-fall22-a"
"Apple iPhone SE (3rd Gen) (Certified Pre-Owned)","Retail price: $253.99","https://ss7.vzw.com/is/image/VerizonWireless/apple-iphone-se-midnight-2022"
"Apple iPhone 12 Pro Max (Certified Pre-Owned)","Retail price: $449.99","https://ss7.vzw.com/is/image/VerizonWireless/apple-iphone-12-pro-max-silver-10132020"
"Apple iPhone 13 (Certified Pre-Owned)","Retail price: $389.99","https://ss7.vzw.com/is/image/VerizonWireless/apple-iphone-13-green-2022"
"Apple iPhone 12 (Certified Pre-Owned)","Retail price: $243.99","https://ss7.vzw.com/is/image/VerizonWireless/apple-iphone-12-white-10132020"
